event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
PHL2327,2017-02-13,Battles,Armed clash,,Cordillera Administrative Region,16.6849,121.0889,0,302.0,1068.0,2052.0,2052.0
PHL14176,2022-04-08,Battles,Armed clash,,Northern Mindanao,8.1575,125.1277,1,22927.0,41138.0,76024.0,76024.0
PHL3678,2017-08-20,Battles,Armed clash,,Bangsamoro Autonomous Region in Muslim Mindanao,6.6502,122.1295,0,7429.0,29719.0,63524.0,63524.0
PHL2201,2017-01-21,Battles,Armed clash,,Soccsksargen,6.9338,125.1959,9,172.0,2363.0,3592.0,3592.0
PHL3113,2017-06-08,Battles,Armed clash,,Calabarzon,13.9134,120.6463,0,1214.0,3101.0,9753.0,9753.0
PHL4833,2018-05-01,Protests,Protest with intervention,,Calabarzon,14.4297,120.9366,0,42025.0,138903.0,367059.0,42025.0
PHL4110,2017-10-21,Battles,Armed clash,,Bangsamoro Autonomous Region in Muslim Mindanao,8.0034,124.2839,10,32535.0,108767.0,187529.0,187529.0
PHL706,2016-07-15,Violence against civilians,Attack,Civilian targeting,National Capital Region,14.6770,120.9877,1,85559.0,292646.0,813133.0,813133.0
PHL1725,2016-10-28,Strategic developments,Disrupted weapons use,,Zamboanga Peninsula,6.7040,121.9711,0,55234.0,78311.0,106332.0,
PHL3037,2017-05-29,Battles,Armed clash,,Davao Region,6.6725,125.2070,2,983.0,4969.0,22788.0,22788.0
PHL2654,2017-04-09,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Soccsksargen,7.2392,125.1591,0,1370.0,1558.0,3504.0,1558.0
PHL13712,2021-11-12,Battles,Armed clash,,Calabarzon,13.8453,122.1231,1,1145.0,3249.0,13226.0,13226.0
PHL2420,2017-02-27,Battles,Armed clash,,Northern Mindanao,8.9052,124.8530,1,141.0,836.0,4688.0,4688.0
PHL2596,2017-03-30,Battles,Armed clash,,Eastern Visayas,11.7885,124.9779,0,332.0,3265.0,19270.0,19270.0
PHL4511,2018-02-21,Explosions/Remote violence,Remote explosive/landmine/IED,,Calabarzon,14.5668,121.2781,0,891.0,4867.0,46654.0,46654.0
PHL2598,2017-03-31,Battles,Armed clash,,Bicol Region,13.1500,123.5333,0,577.0,1872.0,11674.0,11674.0
PHL4913,2018-05-13,Battles,Armed clash,,Bicol Region,13.8569,122.8338,0,74.0,698.0,2588.0,2588.0
PHL896,2016-08-04,Battles,Armed clash,,Davao Region,7.8917,126.0804,0,1114.0,2343.0,7212.0,7212.0
PHL11463,2020-12-13,Battles,Armed clash,,Zamboanga Peninsula,6.9102,122.0738,1,36328.0,107271.0,413010.0,413010.0
PHL14119,2022-03-30,Battles,Armed clash,,Central Luzon,14.8710,121.1258,0,4500.0,8591.0,40670.0,40670.0
PHL11611,2021-01-17,Battles,Armed clash,,Eastern Visayas,11.6081,125.4319,0,19373.0,30997.0,46875.0,46875.0
PHL2277,2017-02-04,Battles,Armed clash,,Western Visayas,10.7641,122.3177,0,2926.0,5467.0,27891.0,27891.0
PHL3927,2017-09-22,Violence against civilians,Attack,Civilian targeting,Mimaropa Region,12.6077,121.5275,1,1979.0,6627.0,19027.0,19027.0
PHL4985,2018-05-25,Battles,Armed clash,,Bicol Region,13.8804,123.6946,1,3811.0,7827.0,14242.0,14242.0
PHL5959,2016-07-07,Violence against civilians,Attack,Civilian targeting,National Capital Region,14.5374,121.0014,1,82633.0,354764.0,697292.0,697292.0
PHL1471,2016-09-26,Violence against civilians,Attack,Civilian targeting,Cagayan Valley,16.9347,121.7725,1,16912.0,39485.0,81025.0,81025.0
PHL8638,2019-06-19,Violence against civilians,Attack,Civilian targeting,Ilocos Region,16.0668,120.0941,1,6319.0,8451.0,19060.0,19060.0
PHL3942,2017-09-25,Violence against civilians,Attack,Civilian targeting,Zamboanga Peninsula,8.1165,122.6666,2,4030.0,11581.0,27059.0,27059.0
PHL4216,2017-11-16,Violence against civilians,Attack,Civilian targeting,Central Luzon,14.9933,120.8431,1,3230.0,5823.0,51227.0,51227.0
PHL2556,2017-03-26,Violence against civilians,Attack,Civilian targeting,Bangsamoro Autonomous Region in Muslim Mindanao,6.5965,122.2778,3,980.0,1529.0,3168.0,3168.0
PHL4324,2017-12-23,Violence against civilians,Attack,Civilian targeting,National Capital Region,14.5374,121.0014,0,83690.0,359250.0,706279.0,359250.0
PHL8924,2019-08-13,Battles,Armed clash,,Bicol Region,13.3999,123.2152,0,898.0,2193.0,11806.0,11806.0
PHL2236,2017-01-30,Battles,Armed clash,,Caraga,9.4424,125.6094,0,118.0,1192.0,3776.0,3776.0
PHL2315,2017-02-11,Violence against civilians,Attack,Civilian targeting,Caraga,9.2655,125.5591,2,10348.0,13466.0,22178.0,22178.0
PHL4853,2018-05-03,Battles,Armed clash,,Cagayan Valley,17.8653,121.5035,0,601.0,737.0,4241.0,4241.0
PHL12076,2021-04-25,Battles,Armed clash,,Bicol Region,12.2167,123.5624,1,716.0,3449.0,8777.0,8777.0
PHL9760,2019-12-07,Battles,Armed clash,,Northern Mindanao,8.2289,124.2434,1,35592.0,124866.0,230936.0,230936.0
PHL12078,2021-04-26,Battles,Armed clash,,Bicol Region,13.7300,123.3837,1,1107.0,3983.0,15179.0,15179.0
PHL3972,2017-09-29,Battles,Armed clash,,Soccsksargen,6.0302,124.8519,0,113.0,646.0,2408.0,2408.0
PHL2434,2017-03-02,Battles,Armed clash,,Calabarzon,14.8109,121.2446,2,7.0,36.0,1850.0,1850.0
PHL2016,2016-12-09,Violence against civilians,Attack,Civilian targeting,Ilocos Region,18.2979,120.6490,1,732.0,2270.0,11682.0,11682.0
PHL2930,2017-05-13,Battles,Armed clash,,Zamboanga Peninsula,7.8275,122.9400,2,770.0,5441.0,10374.0,10374.0
PHL2322,2017-02-12,Battles,Armed clash,,Cordillera Administrative Region,16.6849,121.0889,0,302.0,1068.0,2052.0,2052.0
PHL9228,2019-09-11,Strategic developments,Agreement,,Bicol Region,12.9514,123.8794,0,2318.0,3873.0,21415.0,
