event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
VEN24362,2019-10-03,Violence against civilians,Attack,Civilian targeting,Bolivar,8.1292,-63.5409,1,13035.0,82107.0,254495.0,254495.0
VEN24363,2019-10-04,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2950,-62.7191,1,14266.0,76068.0,185799.0,185799.0
VEN24364,2019-10-04,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2950,-62.7191,1,14266.0,76068.0,185799.0,185799.0
VEN24365,2019-10-12,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2950,-62.7191,1,14266.0,76068.0,185799.0,185799.0
VEN24366,2019-10-14,Violence against civilians,Attack,Civilian targeting,Bolivar,4.6023,-61.1103,1,62689.0,122059.0,155731.0,155731.0
VEN24367,2019-10-17,Violence against civilians,Attack,Civilian targeting,Bolivar,8.1292,-63.5409,1,13035.0,82107.0,254495.0,254495.0
VEN24368,2019-10-21,Battles,Armed clash,,Bolivar,7.6350,-66.1682,1,6210.0,16313.0,24508.0,24508.0
VEN24369,2019-10-21,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2282,-62.5178,1,386.0,871.0,2635.0,2635.0
VEN24370,2019-10-24,Battles,Armed clash,,Bolivar,8.1292,-63.5409,1,13035.0,82107.0,254495.0,254495.0
VEN24371,2019-10-26,Violence against civilians,Attack,Civilian targeting,Apure,7.7792,-68.2237,1,29421.0,47813.0,53968.0,53968.0
VEN24372,2019-10-26,Riots,Mob violence,Civilian targeting,Bolivar,8.1292,-63.5409,1,13035.0,82107.0,254495.0,82107.0
VEN24373,2019-10-26,Violence against civilians,Attack,Civilian targeting,Bolivar,8.0162,-62.4056,1,27306.0,67307.0,130058.0,130058.0
VEN24374,2019-10-29,Violence against civilians,Attack,Civilian targeting,Amazonas,5.6605,-67.5834,1,15099.0,31329.0,97946.0,97946.0
VEN24375,2019-10-31,Battles,Armed clash,,Bolivar,8.2282,-62.5178,1,386.0,871.0,2635.0,2635.0
VEN24376,2019-11-06,Violence against civilians,Attack,Civilian targeting,Amazonas,5.6605,-67.5834,1,15099.0,31329.0,97946.0,97946.0
VEN24377,2019-11-07,Riots,Mob violence,,Bolivar,8.1677,-62.6475,1,1131.0,1509.0,4712.0,1509.0
VEN24378,2019-11-09,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2950,-62.7191,1,14266.0,76068.0,185799.0,185799.0
VEN24379,2019-11-10,Violence against civilians,Attack,Civilian targeting,Bolivar,7.4770,-61.8967,1,12574.0,25456.0,27324.0,27324.0
VEN24380,2019-12-01,Violence against civilians,Attack,Civilian targeting,Apure,7.8448,-67.5168,1,21789.0,39668.0,76873.0,76873.0
VEN24381,2019-12-03,Violence against civilians,Attack,Civilian targeting,Apure,7.1104,-71.7167,6,47.0,142.0,1229.0,1229.0
VEN24382,2019-10-13,Violence against civilians,Attack,Civilian targeting,Tachira,8.0313,-72.2605,1,20653.0,37715.0,53034.0,53034.0
VEN24383,2019-10-20,Riots,Mob violence,Civilian targeting,Falcon,11.6915,-70.1992,0,21990.0,64092.0,131577.0,64092.0
VEN24384,2019-10-22,Battles,Armed clash,,Tachira,8.1658,-72.1637,1,4108.0,7699.0,9208.0,9208.0
VEN24385,2019-11-12,Violence against civilians,Attack,Civilian targeting,Bolivar,7.4770,-61.8967,1,12574.0,25456.0,27324.0,27324.0
VEN24386,2019-11-15,Violence against civilians,Attack,Civilian targeting,Bolivar,8.1677,-62.6475,1,1131.0,1509.0,4712.0,4712.0
VEN24387,2019-11-17,Violence against civilians,Attack,Civilian targeting,Bolivar,7.6350,-66.1682,1,6210.0,16313.0,24508.0,24508.0
VEN24388,2019-11-18,Riots,Mob violence,,Bolivar,8.2950,-62.7191,0,14266.0,76068.0,185799.0,76068.0
VEN24389,2019-11-30,Violence against civilians,Attack,Civilian targeting,Bolivar,8.1292,-63.5409,1,13035.0,82107.0,254495.0,254495.0
VEN24390,2019-12-01,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2950,-62.7191,1,14266.0,76068.0,185799.0,185799.0
VEN24391,2019-12-01,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2950,-62.7191,2,14266.0,76068.0,185799.0,185799.0
VEN24392,2019-12-01,Violence against civilians,Attack,Civilian targeting,Tachira,7.6420,-72.2781,1,11854.0,18925.0,25442.0,25442.0
VEN24393,2019-12-07,Violence against civilians,Attack,Civilian targeting,Bolivar,7.3499,-62.5411,1,3483.0,5023.0,5571.0,5571.0
VEN24394,2019-12-08,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2950,-62.7191,1,14266.0,76068.0,185799.0,185799.0
VEN24395,2019-12-09,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2950,-62.7191,1,14266.0,76068.0,185799.0,185799.0
VEN24396,2019-12-15,Violence against civilians,Attack,Civilian targeting,Bolivar,8.2950,-62.7191,1,14266.0,76068.0,185799.0,185799.0
VEN24397,2019-12-15,Violence against civilians,Attack,Civilian targeting,Bolivar,8.1677,-62.6475,1,1131.0,1509.0,4712.0,4712.0
VEN24398,2019-12-16,Violence against civilians,Attack,Civilian targeting,Bolivar,7.3471,-61.8268,1,13096.0,27076.0,39032.0,39032.0
VEN24399,2019-12-21,Violence against civilians,Attack,Civilian targeting,Bolivar,8.1677,-62.6475,1,1131.0,1509.0,4712.0,4712.0
VEN24400,2019-12-21,Violence against civilians,Attack,Civilian targeting,Falcon,11.3947,-69.6801,1,19900.0,89376.0,185391.0,185391.0
VEN24401,2019-12-31,Battles,Armed clash,,Bolivar,8.2950,-62.7191,1,14266.0,76068.0,185799.0,185799.0
VEN24438,2018-12-01,Violence against civilians,Attack,Civilian targeting,Zulia,10.6763,-72.0005,2,3970.0,5191.0,7639.0,7639.0
VEN24439,2019-05-29,Riots,Mob violence,,Bolivar,8.2950,-62.7191,0,14266.0,76068.0,185799.0,76068.0
VEN24440,2019-06-15,Violence against civilians,Attack,Civilian targeting,Tachira,8.1332,-71.9839,2,16126.0,21398.0,30198.0,30198.0
