event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
RUS23503,2024-09-21,Explosions/Remote violence,Air/drone strike,,Kursk,51.2041,35.3290,0,664.0,1670.0,2558.0,2558.0
RUS23504,2024-09-21,Explosions/Remote violence,Air/drone strike,,Kursk,51.1489,35.2348,0,1.0,1.0,59.0,59.0
RUS23505,2024-09-21,Explosions/Remote violence,Air/drone strike,,Kursk,51.3582,35.2268,0,10.0,11.0,22.0,22.0
RUS23506,2024-09-21,Explosions/Remote violence,Air/drone strike,,Kursk,51.3233,35.1029,0,75.0,117.0,119.0,119.0
RUS23507,2024-09-21,Explosions/Remote violence,Air/drone strike,,Kursk,51.2508,35.1238,1,108.0,232.0,247.0,247.0
RUS23508,2024-09-21,Explosions/Remote violence,Air/drone strike,,Kursk,51.1528,35.3441,0,95.0,119.0,227.0,227.0
RUS23549,2024-09-22,Battles,Armed clash,,Kursk,51.1023,35.3301,9,180.0,493.0,581.0,581.0
RUS23557,2024-09-22,Battles,Armed clash,,Kursk,51.2620,35.0273,1,43.0,160.0,160.0,160.0
RUS23558,2024-09-22,Battles,Armed clash,,Kursk,51.2446,35.0075,1,50.0,61.0,62.0,62.0
RUS23559,2024-09-22,Battles,Armed clash,,Kursk,51.2563,34.5355,5,0.0,0.0,0.0,0.0
RUS23560,2024-09-22,Battles,Armed clash,,Kursk,51.3001,35.0387,1,4.0,44.0,63.0,63.0
RUS23561,2024-09-22,Battles,Armed clash,,Kursk,51.3304,35.2235,5,251.0,580.0,725.0,725.0
RUS23562,2024-09-22,Battles,Armed clash,,Kursk,51.3763,35.2378,5,9.0,9.0,9.0,9.0
RUS23563,2024-09-22,Battles,Armed clash,,Kursk,51.2558,34.6747,5,0.0,0.0,0.0,0.0
RUS23564,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.0927,35.2660,0,235.0,573.0,635.0,635.0
RUS23565,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.2413,35.2511,0,580.0,659.0,663.0,663.0
RUS23566,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.1777,35.3417,0,63.0,64.0,187.0,187.0
RUS23567,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.2247,35.3629,1,55.0,78.0,81.0,81.0
RUS23568,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.1489,35.2348,0,1.0,1.0,59.0,59.0
RUS23569,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.3582,35.2268,0,10.0,11.0,22.0,22.0
RUS23570,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.3233,35.1029,0,75.0,117.0,119.0,119.0
RUS23571,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.3687,35.2250,0,112.0,113.0,113.0,113.0
RUS23572,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.3211,35.3345,1,126.0,212.0,215.0,215.0
RUS23573,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.2508,35.1238,0,108.0,232.0,247.0,247.0
RUS23574,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.2785,35.3092,0,19.0,41.0,93.0,93.0
RUS23575,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.1528,35.3441,1,95.0,119.0,227.0,227.0
RUS23576,2024-09-22,Explosions/Remote violence,Air/drone strike,,Kursk,51.2732,35.2668,0,0.0,1.0,1.0,1.0
RUS23618,2024-09-23,Explosions/Remote violence,Air/drone strike,,Kursk,51.2558,34.6747,1,0.0,0.0,0.0,0.0
RUS23621,2024-09-23,Explosions/Remote violence,Air/drone strike,,Kursk,51.3001,35.0387,0,4.0,44.0,63.0,63.0
RUS23622,2024-09-23,Battles,Armed clash,,Kursk,51.2620,35.0273,1,43.0,160.0,160.0,160.0
RUS23623,2024-09-23,Battles,Armed clash,,Kursk,51.2563,34.5355,10,0.0,0.0,0.0,0.0
RUS23624,2024-09-23,Battles,Armed clash,,Kursk,51.2446,35.0075,1,50.0,61.0,62.0,62.0
RUS23625,2024-09-23,Battles,Armed clash,,Kursk,51.3304,35.2235,5,251.0,580.0,725.0,725.0
RUS23626,2024-09-23,Battles,Armed clash,,Kursk,51.1023,35.3301,5,180.0,493.0,581.0,581.0
RUS23627,2024-09-23,Explosions/Remote violence,Air/drone strike,,Kursk,51.0561,35.2126,0,11.0,16.0,87.0,87.0
RUS23629,2024-09-23,Explosions/Remote violence,Air/drone strike,,Kursk,51.1375,35.2706,1,10.0,29.0,33.0,33.0
