event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
ETH13199,2024-07-15,Battles,Armed clash,,Oromia,8.9833,34.6167,25,55591.0,107786.0,179964.0,179964.0
ETH13207,2024-04-18,Battles,Armed clash,,Oromia,8.1333,39.2333,0,33263.0,44316.0,56148.0,56148.0
ETH13215,2024-07-30,Battles,Armed clash,,Oromia,8.7370,37.4314,0,882.0,3968.0,10423.0,10423.0
ETH13216,2024-07-30,Battles,Armed clash,,Oromia,8.6859,37.4530,0,1100.0,4517.0,20473.0,20473.0
ETH13217,2024-07-27,Battles,Armed clash,,Amhara,11.2328,39.0619,0,8753.0,15686.0,30889.0,30889.0
ETH13218,2024-07-29,Battles,Armed clash,,Amhara,11.5029,38.7474,0,540.0,1448.0,6087.0,6087.0
ETH13219,2024-07-31,Battles,Armed clash,,Oromia,10.1128,38.4610,0,1211.0,2450.0,6602.0,6602.0
ETH13221,2024-07-27,Battles,Armed clash,,Amhara,11.4167,37.1667,0,31537.0,74727.0,115805.0,115805.0
ETH13223,2024-04-17,Battles,Armed clash,,Amhara,11.0667,37.8833,0,10340.0,49078.0,92285.0,92285.0
ETH13224,2024-07-27,Battles,Armed clash,,Amhara,11.0667,37.8833,0,10340.0,49078.0,89539.0,89539.0
ETH13225,2024-04-18,Battles,Armed clash,,Oromia,9.8709,37.6140,0,0.0,45.0,929.0,929.0
ETH13226,2024-07-31,Battles,Non-state actor overtakes territory,,Amhara,12.0071,39.2904,0,5097.0,6407.0,15821.0,15821.0
ETH13233,2024-04-18,Battles,Armed clash,,Oromia,7.8666,39.5568,0,1498.0,3862.0,25091.0,25091.0
ETH13237,2024-07-29,Battles,Armed clash,,Oromia,9.8953,38.5042,1,1601.0,3666.0,15058.0,15058.0
ETH13239,2024-04-17,Battles,Armed clash,,Amhara,11.0129,37.7327,0,451.0,3915.0,18278.0,18278.0
ETH2910,2016-03-15,Protests,Protest with intervention,,Oromia,7.5298,38.9859,0,17423.0,28959.0,47495.0,17423.0
ETH3088,2016-06-24,Protests,Peaceful protest,,Oromia,7.5298,38.9859,0,17423.0,28959.0,47495.0,17423.0
ETH3309,2016-08-07,Riots,Violent demonstration,,Oromia,7.5298,38.9859,0,17423.0,28959.0,47495.0,28959.0
ETH3313,2016-08-07,Violence against civilians,Attack,Civilian targeting,Oromia,7.5298,38.9859,1,17423.0,28959.0,47495.0,47495.0
ETH5615,2020-07-01,Violence against civilians,Attack,Civilian targeting,Oromia,7.5833,38.9000,3,868.0,2938.0,14104.0,14104.0
ETH5617,2020-07-02,Violence against civilians,Attack,Civilian targeting,Oromia,7.5833,38.9000,4,868.0,2938.0,14104.0,14104.0
ETH5694,2020-09-19,Protests,Peaceful protest,,Oromia,7.5833,38.9000,0,868.0,2938.0,14104.0,868.0
ETH6785,2021-05-20,Protests,Excessive force against protesters,Civilian targeting,Amhara,11.4167,37.1667,4,30016.0,71586.0,116184.0,30016.0
ETH6864,2021-06-21,Battles,Armed clash,,Oromia,10.0167,38.4500,3,85.0,1004.0,7772.0,7772.0
ETH7034,2021-08-29,Strategic developments,Looting/property destruction,,Amhara,11.8333,39.7333,0,5148.0,19892.0,36212.0,
ETH7312,2021-09-09,Battles,Armed clash,,Oromia,7.5833,38.9000,0,888.0,3010.0,14465.0,14465.0
ETH7314,2021-09-09,Battles,Armed clash,,Amhara,11.6695,39.7532,10,346.0,2088.0,10785.0,10785.0
ETH7335,2021-09-15,Explosions/Remote violence,Grenade,Civilian targeting,Amhara,11.6695,39.7532,3,346.0,2088.0,10785.0,10785.0
ETH7396,2021-10-13,Battles,Armed clash,,Oromia,7.5833,38.9000,8,888.0,3010.0,14465.0,14465.0
ETH7540,2021-11-03,Violence against civilians,Attack,Civilian targeting,Oromia,8.7333,37.4667,3,8011.0,15791.0,35024.0,35024.0
ETH7564,2021-11-05,Violence against civilians,Attack,Civilian targeting,Oromia,9.8667,38.3500,3,642.0,1891.0,15143.0,15143.0
