event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
CHN16321,2025-01-11,Protests,Peaceful protest,,Guangdong,22.5446,114.0545,0,71390.0,183066.0,1030654.0,71390.0
CHN16322,2025-01-11,Protests,Peaceful protest,,Guangdong,23.0214,113.1283,0,43551.0,168212.0,902457.0,43551.0
CHN16323,2025-01-11,Protests,Peaceful protest,,Guangdong,22.5446,114.0545,0,71390.0,183066.0,1030654.0,71390.0
CHN16324,2025-01-11,Protests,Peaceful protest,,Guangdong,21.6413,110.9180,0,45573.0,137521.0,512760.0,45573.0
CHN16325,2025-01-10,Protests,Peaceful protest,,Zhejiang,30.7228,120.6817,0,351.0,3092.0,114565.0,351.0
CHN16326,2025-01-10,Protests,Peaceful protest,,Guangdong,22.2655,113.5430,0,49240.0,130183.0,749004.0,49240.0
CHN16327,2025-01-09,Protests,Peaceful protest,,Guangdong,22.5446,114.0545,0,71390.0,183066.0,1030654.0,71390.0
CHN16328,2025-01-09,Protests,Peaceful protest,,Shandong,36.8067,118.0179,0,19419.0,77116.0,420712.0,19419.0
CHN16329,2025-01-09,Protests,Peaceful protest,,Shandong,36.4346,115.9885,0,19318.0,69569.0,360041.0,19318.0
CHN16330,2025-01-09,Protests,Peaceful protest,,Hunan,29.3719,113.1297,0,58088.0,161215.0,619167.0,58088.0
CHN16331,2025-01-09,Protests,Peaceful protest,,Shaanxi,36.5912,109.4930,0,15293.0,49905.0,223831.0,15293.0
CHN16332,2025-01-08,Protests,Peaceful protest,,Gansu,36.0575,103.8253,0,77166.0,236325.0,899302.0,77166.0
CHN16333,2025-01-08,Protests,Peaceful protest,,Hubei,31.7163,113.3711,0,29571.0,173547.0,385108.0,29571.0
CHN16334,2025-01-08,Protests,Peaceful protest,,Hunan,28.2462,113.0808,0,25979.0,138603.0,627061.0,25979.0
CHN16335,2025-01-08,Protests,Peaceful protest,,Guangdong,23.1123,113.2994,0,17983.0,217084.0,1767635.0,17983.0
CHN16336,2025-01-08,Protests,Peaceful protest,,Henan,34.7482,113.6129,0,61124.0,249063.0,1158339.0,61124.0
CHN16337,2025-01-08,Protests,Peaceful protest,,Shaanxi,34.2933,108.9463,0,39346.0,166095.0,802015.0,39346.0
CHN16338,2025-01-08,Protests,Peaceful protest,,Shandong,36.4346,115.9885,0,19318.0,69569.0,360041.0,19318.0
CHN16339,2025-01-07,Protests,Peaceful protest,,Jiangsu,31.8303,119.9716,0,19959.0,69020.0,337411.0,19959.0
CHN16340,2025-01-07,Protests,Peaceful protest,,Heilongjiang,45.8027,126.5101,0,12922.0,45253.0,154279.0,12922.0
CHN16341,2025-01-07,Protests,Peaceful protest,,Guangdong,23.0841,114.3825,0,32993.0,70679.0,435921.0,32993.0
CHN16342,2025-01-07,Protests,Peaceful protest,,Jiangsu,32.0098,120.8574,0,33454.0,109818.0,502815.0,33454.0
CHN16343,2025-01-07,Protests,Peaceful protest,,Zhejiang,30.7228,120.6817,0,351.0,3092.0,114565.0,351.0
CHN16344,2025-01-07,Protests,Peaceful protest,,Henan,32.9899,112.5288,0,43947.0,137719.0,749395.0,43947.0
CHN16345,2025-01-07,Protests,Peaceful protest,,Anhui,31.8511,117.2605,0,65353.0,212265.0,1279096.0,65353.0
CHN16347,2025-01-06,Protests,Peaceful protest,,Guangdong,22.2655,113.5430,0,49240.0,130183.0,749004.0,49240.0
CHN16348,2025-01-06,Protests,Peaceful protest,,Guangxi,22.7859,108.4940,0,3060.0,17965.0,181133.0,3060.0
CHN16350,2025-01-06,Protests,Peaceful protest,,Zhejiang,30.7228,120.6817,0,351.0,3092.0,114565.0,351.0
CHN16351,2025-01-06,Protests,Peaceful protest,,Henan,33.6261,114.6969,0,3432.0,19979.0,138409.0,3432.0
CHN16352,2025-01-05,Protests,Peaceful protest,,Liaoning,42.0255,121.6805,0,16692.0,56685.0,292512.0,16692.0
CHN16353,2025-01-04,Protests,Peaceful protest,,Beijing,39.9062,116.3913,0,15531.0,98413.0,325380.0,15531.0
CHN16354,2025-01-04,Protests,Peaceful protest,,Jilin,45.1718,124.8171,0,17314.0,65437.0,190531.0,17314.0
CHN16355,2025-01-04,Protests,Peaceful protest,,Henan,35.0674,112.6020,0,20665.0,59044.0,232878.0,20665.0
CHN16356,2025-01-04,Protests,Peaceful protest,,Guangdong,22.5446,114.0545,0,71390.0,183066.0,1030654.0,71390.0
CHN16357,2025-01-03,Protests,Peaceful protest,,Jiangxi,25.8178,114.9212,0,20424.0,108340.0,520081.0,20424.0
CHN16358,2025-01-03,Protests,Peaceful protest,,Guangdong,22.5446,114.0545,0,71390.0,183066.0,1030654.0,71390.0
